Name,C1,C2,C3,C4,C5,C6,C7,C8,C9
R54,#e6cb44,#e6bd34,#e6b027,#e6a11c,#e59310,#e08208,#da7203,#d46103,#ce4f05
R55,#e9cf62,#eebe57,#f2ac50,#f79b4e,#f2854c,#e76f4a,#da5748,#c93c44,#b41b3f
R56,#dbd4d0,#cac2be,#b9b1ad,#a8a09d,#978f8b,#877f7c,#776f6c,#695f5d,#58504e
R57,#d5d5d5,#c1c4c3,#afb2b3,#9ba2a4,#899296,#778188,#68727b,#59626d,#4b525e
R58,#38ffff,#2dffe1,#35ffc2,#4dffa2,#6dff83,#8bff62,#abff40,#ceff18,#f3ff00
R59,#5b00ff,#5755ff,#5490ff,#40cfff,#53fff4,#bdff98,#f1d523,#f98900,#fa0007
R60,#88ffff,#beffff,#ebffff,#fff7ff,#ffddff,#ffc6ff,#ffafff,#ff96ff,#ff7cff
R61,#5b00ff,#6e3efc,#9278ff,#baafff,#e7e5ff,#fdd8d9,#fc9696,#f85054,#fa0007
R62,#363ba6,#5658a7,#8081b8,#ababca,#dbdde1,#d3b5bb,#bf848f,#a64d64,#8c023c
R63,#00a737,#59ad1c,#8cb400,#b9b825,#debd51,#fac17a,#fac6a3,#fdcfcc,#f1f1f1
R64,#d13d6b,#d8595c,#dd704c,#e18739,#e3a227,#e0c135,#dcdd64,#daeb96,#dee7bd
R65,#363ba6,#454aa5,#585ba9,#6d6fb0,#8384b9,#9a9bc3,#b1b2ce,#c9cad8,#e2e2e2
R66,#480054,#4e3d86,#40618d,#32828e,#21a287,#36be72,#6cd24f,#ace023,#f3e91d
R67,#000004,#1b1034,#43076f,#852282,#bc3577,#e45164,#f68a61,#f8c488,#f7febe
R68,#2f0088,#8400a9,#ac1c95,#c63e7d,#db5e66,#eb804e,#f5a735,#f3d11c,#e4fb14
R69,#000004,#170534,#5f0970,#9a2764,#c53d4c,#e4622b,#f49a00,#efd53e,#f5ffa3
R70,#262626,#3c3c3c,#535353,#6b6b6b,#848484,#9e9e9e,#b9b9b9,#d5d5d5,#f1f1f1
R71,#53007f,#551a7c,#603483,#6e4e8d,#856b9e,#9d8ab2,#b8abc8,#d5cddf,#f3f0f6
R72,#363ba6,#474aa6,#5a5dad,#7173b7,#888ac3,#a4a2d1,#bdbbe0,#d1d6ef,#eff0fc
R73,#006e2f,#287b44,#478a59,#619a70,#7ba986,#95bc9e,#b0d0b7,#cbe4d0,#e5f4e9
R74,#8f330f,#99412b,#a55545,#b46c60,#c3857b,#d19f98,#deb9b4,#ebd4d0,#f7efee
R75,#881824,#96343b,#a54e53,#b5686c,#c48284,#d39c9e,#e2b6b8,#f0d2d2,#fdeded
R76,#363ba6,#454aa5,#585ba9,#6d6fb0,#8384b9,#9a9bc3,#b1b2ce,#c9cad8,#e2e2e2
R77,#474747,#595959,#6b6b6b,#7d7d7d,#919191,#a4a4a4,#b8b8b8,#cdcdcd,#e2e2e2
R78,#eef8fb,#c7eae3,#9ddacb,#74c8af,#53bc92,#37ad72,#19934c,#00732c,#005923
R79,#eef8fb,#cad8e9,#a3bbda,#949ecb,#9283bd,#926bb2,#9252a9,#893295,#71006c
R80,#eff9e8,#cdedc7,#9ddab4,#81cec1,#6ec2d1,#5baed2,#478fc1,#396fab,#32569e
R81,#fbf0d9,#f9e2af,#f7c890,#f8ad74,#f8935c,#ef734f,#e24d38,#c81f15,#960002
R82,#f2eef6,#d8d4e8,#b6c2de,#93b2d5,#6ba0ca,#478bbf,#3777b6,#3262a3,#234d7b
R83,#f7eff7,#d4d2e7,#acbddb,#7faed2,#5494c4,#3685af,#238293,#107c72,#026450
R84,#f2eef6,#ddc6e2,#cd9fce,#d082c0,#df65b2,#e73a9a,#df0c74,#c30e4f,#900040
R85,#fcebe2,#facac3,#f9aeb9,#f992b1,#f872a5,#ef4d9f,#d01e91,#9e0077,#7d0078
R86,#faffcb,#e4f8ae,#bee897,#94d686,#66c373,#32aa5a,#168c46,#126f38,#005b31
R87,#faffcb,#bee8b3,#8fd4b7,#61c0c1,#42a8c5,#3e8bbf,#406db2,#3c4d9f,#2d2984
R88,#fbffd4,#f9eda8,#f6db7a,#f6c750,#f9ab32,#f3881f,#da5f0c,#b03900,#892d05
R89,#f8ffb1,#f6e585,#f7c85f,#f7aa45,#f78b3b,#fd6d34,#f13f27,#cb0019,#ae0027
R90,#f0f3ff,#ccdcf0,#a3cae1,#82b6da,#649ece,#4c86c1,#4171b6,#3a5ba9,#304394
R91,#ecf8e9,#d1eecc,#b3e3b0,#94d693,#6dc575,#36ad5c,#128c44,#0e6d33,#005b31
R92,#f7f7f7,#dadada,#bdbdbd,#a1a1a1,#868686,#6c6c6c,#535353,#3b3b3b,#252525
R93,#fcedde,#f9dab3,#f7c38b,#f7ac66,#f89445,#f1751f,#d64a04,#ae2605,#892d05
R94,#f3f0f7,#d4d2e7,#b9b5d8,#a297c7,#897dbb,#7a64ae,#7149a1,#672d93,#550a87
R95,#fce5d9,#f9cbb4,#f8b194,#f89878,#f77f5e,#f66245,#ea392d,#bd0d1c,#96000f
R96,#885109,#b78937,#d5b96a,#eadda6,#fbf3e7,#d2edea,#84ccc2,#3e9c95,#0b665e
R97,#c5147e,#cc619f,#e599c3,#fbcee5,#f7f7f7,#e0f4c9,#beeb93,#8cd15c,#42931d
R98,#7a2684,#9461ab,#b68fc5,#dabedd,#f7f2f7,#d8f1d4,#a0d79c,#61b167,#087936
R99,#af5806,#e59b34,#f5c06e,#fae0b5,#f9f9f6,#c6c3df,#9f8ec4,#805caa,#5d2389
R100,#af162c,#db6548,#ed946b,#f4bc9b,#feebde,#d8e8f2,#8fbcd9,#5792c4,#3e64ac
R101,#af162c,#dd674b,#eb9067,#f0b38f,#fee6d6,#f3f5f5,#b5b4b3,#828383,#4d4d4d
R102,#d32f28,#f2774f,#f9aa65,#f7d784,#f9ffc0,#f3fff1,#c1dcef,#74a3c8,#5674b4
R103,#d32f28,#f27151,#f7a05c,#f5c86c,#faf1a6,#ecfeaf,#b1e26f,#62c057,#00994f
R104,#d23d50,#f47a5b,#f6ae5a,#f7e089,#f2ffb3,#afe189,#42beb8,#009fe4,#4a87bd
R105,#eb008d,#ed3897,#ee55a1,#f06daa,#f183b5,#f498c1,#f6accd,#f8c1da,#fad5e5
R106,#232373,#381099,#4518b0,#5034be,#5e55c8,#7477d3,#9a9be5,#c5bef7,#e3dfff
R107,#165829,#306c41,#448357,#599b6e,#70b186,#8bc49d,#a8d4b5,#c3e4cf,#dcf5e9
R108,#536a30,#6a8641,#80a350,#97bf5e,#afde6b,#c8fb7b,#deff90,#ebffab,#e8fdcb
R109,#e6ebb4,#c8d991,#a6da93,#83d99e,#62d1a7,#44bea6,#359f96,#387372,#353836
R110,#e17432,#e2932d,#f4bd5a,#ffe495,#fff8c3,#eae6c8,#b7b3a0,#867e6d,#6d614c
R111,#f6f76b,#f6df2a,#f6c608,#f8ac10,#f99111,#f97514,#fa581e,#fa392e,#fb1047
R112,#372720,#4a2c1f,#6a3a25,#905032,#b96c47,#da8964,#eca687,#eebda5,#e0cbaf
R113,#282870,#313d7f,#405391,#536ca4,#6b85b8,#859fcb,#a2b8db,#becee7,#dae2ec
R114,#caf8eb,#bbe7d5,#a8d7c8,#93c8be,#81b9af,#72a89c,#649889,#558879,#407b73
R115,#fca1a2,#ff8d9c,#f67689,#df5e6f,#cc4854,#bf343b,#b12227,#9e181c,#801a1d
R116,#7c6662,#987a74,#bca097,#d7c4bd,#dad3d2,#c1c3cd,#98a1b5,#727e96,#5e6779
R117,#d38812,#f2b756,#fed39a,#fbe3d3,#f3f4ef,#edffe3,#dfffba,#c3ff84,#94d059
R118,#350010,#472300,#6b2d04,#97251d,#c01438,#d7334f,#dd6364,#e2897d,#fca1a2
R119,#640404,#740909,#820c0b,#900d0c,#9e0c0b,#ad090c,#bd0c0d,#cd1a0e,#dc2f0b
R120,#e378fd,#f053ee,#e14ae0,#c94ad1,#b73cbf,#ae0faa,#a50096,#940083,#770074
R121,#776890,#8e70a3,#ad82c0,#c898df,#d4b1f6,#d3c8ff,#cfdbff,#d4e8ff,#ededf2
R122,#863646,#922d41,#983645,#9c4a4d,#9f5f58,#a57262,#ad836a,#b59271,#b8a276
R123,#280505,#441616,#5a1a15,#6c170d,#7f0f05,#9a0f08,#be1f18,#e23325,#f83c19
R124,#fcd8ff,#ff99fe,#ff58ed,#fa1ad0,#c600ab,#970084,#77005d,#5a053a,#30051c
R125,#5b0049,#70135b,#8c0c74,#a90090,#c100ab,#ce12c1,#d349d1,#dd6de4,#ff89ff
R126,#104000,#12621b,#277b26,#438e26,#5fa121,#7bb91f,#98d62f,#b1ef51,#c3f582
R127,#21232a,#37363c,#454552,#525669,#616980,#758096,#8a96ac,#a1acc3,#b8bcdc
R128,#181c28,#2d2d3b,#41434e,#4e5164,#56587d,#5c5e98,#6a6bb2,#8887ca,#bbbcdd
R129,#3c2331,#3e383b,#3e4d45,#3f6350,#3e7b5b,#3d9467,#3cb074,#3acc82,#36e990
R130,#f9f5d8,#f1ebc7,#eae0b6,#e3d4a6,#dcc896,#d5bc87,#cfaf79,#c9a36c,#c29760
R131,#bd4f71,#bf6d81,#d0989f,#e6c6c4,#f8ece6,#fdfcfe,#eeecff,#d1c8f0,#b0a2ce
R132,#44886e,#58947d,#6ca18d,#80ae9c,#93bdad,#a6ccbe,#badccf,#ceece0,#e3f9f0
R133,#f4e3af,#f4e596,#efca5e,#dca41c,#bb8400,#906e15,#655a29,#414429,#30260b
R134,#e8cd9a,#e5c085,#e2b371,#e0a65e,#de994c,#dd8c3c,#db7e2d,#da701e,#d8600e
R135,#c5e6e6,#a5d4d1,#90c0c5,#80adba,#7097a9,#5e8292,#4c6c78,#3c5860,#30454d
R136,#e3e4de,#dfd9db,#d5ccd5,#c7bfcc,#b7b2c3,#a6a6b9,#949db1,#8296aa,#7194a7
R137,#d3c3a6,#bdb19e,#aba09a,#9c8d94,#8c7987,#7a6271,#654b58,#503541,#392433
R138,#a0f5e3,#95d7ce,#8ab9ba,#7f9da6,#748193,#6a6681,#604d6e,#55335c,#4a174a
R139,#d9ebec,#cee5e7,#c3e0e2,#b8dbdd,#aed6d8,#a2d1d2,#97cbcd,#8cc5c7,#81bfc1
R140,#e6c6f2,#edc0f9,#f4b8fd,#f8acff,#f79fff,#f192ff,#e484ff,#d17cff,#bb82ff
R141,#d7d8d6,#c9d2d0,#bccbcb,#b0c4c7,#a4bdc4,#98b8c3,#8bb4c2,#7eafc0,#70a8ba
R142,#f2cfc6,#e4b1af,#d3998b,#c67f6c,#bc6256,#ad4345,#972636,#751528,#461717
R143,#93f465,#8bea43,#66e22a,#27da1a,#00ce12,#00bd0f,#2fa90d,#369608,#058500
R144,#e7d2d7,#f9d2cc,#fdc6bf,#f9b4b0,#f39fa2,#ea8b97,#dc7c8f,#c8738c,#ab748d
R145,#1d1864,#4800ae,#5300d9,#4f06ed,#4948f1,#5375f2,#7ba2f8,#a7d2ff,#b2fdff
R146,#17213a,#2b2854,#3c3e7a,#505ba2,#6e7cc2,#8f9edb,#aebfed,#c8def8,#d7f7ff
R147,#fde6df,#fdd4c8,#fbbcb4,#f4a2a4,#e68b98,#cf7c8f,#b3748b,#976f8b,#826d90
R148,#f04655,#f75c4b,#fa7143,#fa853a,#f99934,#f8ae2f,#f7c32e,#f3d734,#eaeb43
R149,#9cb1b9,#86a1ab,#72909d,#5f7f8e,#4c6f7e,#3a5f6b,#2a5058,#1d4245,#163433
R150,#8b7144,#a18a5a,#c0aa7b,#dfcba1,#f4e4c3,#f5eed9,#dae3db,#baccca,#b4bbaf
R151,#121212,#252525,#383838,#4d4d4d,#636362,#797979,#909090,#a8a8a8,#c1c1c1
R152,#587484,#86929a,#bec1c7,#e0e1d9,#dde2bb,#bccb82,#8da746,#5f8120,#3f622c
R153,#fa1518,#e33634,#f06e6c,#ffacb0,#ffe3e6,#f9fcee,#bfe8ba,#7db56f,#547937
R154,#49457f,#5c5190,#615d9e,#5f6aaa,#5e77b6,#6585c0,#7294ca,#7da2d4,#82b0dc
R155,#82b0dc,#8fbcec,#9cc5f3,#a8cbf4,#b4d0f4,#c0d6f5,#ccddf8,#d7e4f9,#ddebf9
R156,#6d6ca0,#6978b3,#6984bf,#6d91c7,#749ece,#7eacd8,#8dbce9,#9fcafa,#b5d3ff
R157,#0d0238,#290061,#32007d,#2d178e,#21359b,#1f52a9,#4573be,#7f99dd,#9ec2ff
R158,#684e02,#885c1c,#aa7028,#c88934,#d8a245,#dab85a,#d6c966,#d7d35d,#e8d626
R159,#1b4004,#365510,#566c20,#768535,#959e51,#b1b973,#c9d197,#dce4ba,#ecefd9
R160,#1f1f24,#2d2f3a,#3e4051,#525467,#66697d,#7a7f92,#9095a5,#a7abb8,#bfc1c9
R161,#43468e,#494d8e,#50548e,#565c8f,#5d638e,#656a8d,#6e728f,#767d94,#7f8ca0
R162,#071b2d,#004669,#0084a4,#7dc1cf,#d7e4db,#f3d4bd,#c49279,#794a35,#412408
R163,#efc6bd,#ecb4ab,#e79f9a,#dd898c,#cc7481,#b66478,#9c576f,#814c65,#694157
R164,#ebbb3e,#f3db74,#f8fbac,#f8ffd0,#f3ebde,#ecc6e0,#e39edf,#dc81e6,#dc7dff
R165,#a3dfd0,#71d3b0,#55c199,#4baa88,#479175,#3e7760,#325e49,#274738,#22352f
R166,#f4de1a,#f3d235,#f5c541,#f7b648,#f9a850,#f99b59,#f98c5f,#f6795e,#f15f51
R167,#e0a47b,#ebb772,#f3d592,#f5dfa9,#f4cca0,#eaa684,#d47963,#b6554d,#91494a
R168,#f9e6ce,#f9dab7,#f7ccad,#f5bda7,#f4afa2,#f5a198,#f4918d,#ed8182,#dd6d79
R169,#fffeff,#f8ecde,#d7cac6,#a7a0b2,#75769b,#4a5381,#363d60,#2c2c3b,#16141a
R170,#297a94,#2a808d,#2a9296,#35a5a1,#4cb1a0,#66b99a,#80c195,#9bcb9d,#b8deba
R171,#997279,#b77d7f,#cf8d88,#e1a093,#edb49c,#f4c7a2,#f7d8a5,#f8e6b0,#f7f1cb
R172,#eb5954,#f7636d,#fa7375,#f98378,#f88e81,#f99493,#f89aa6,#f4a3b1,#ebb1ac
R173,#eae587,#d8cb6c,#dbbc59,#e1ae4b,#dd9a40,#d08339,#bd6c33,#a5582e,#8c4b28
R174,#627616,#7b7f22,#8d9228,#9ca92e,#abc239,#bed850,#d5e96f,#e5f584,#dfff7d
R175,#c7c490,#d5c4a0,#ead8c2,#fcf1e7,#fffffe,#f2f5f7,#d4d9da,#b3bebd,#96b3b4
R176,#786b57,#887564,#ad9a84,#d7c7ab,#f4eccc,#f3f1da,#d4d9d2,#aeb8c1,#97a3b4
R177,#8fadad,#9ebfbe,#b9d6cb,#d6ecd2,#ecf7d1,#f3f0c7,#ebd9b6,#e5c6a1,#f0cb8c
R178,#083236,#0e4546,#0f5a58,#11706e,#1c8787,#359ea2,#58b3bb,#82c5cc,#b4d1d3
R179,#eff0eb,#ebe2b8,#d0d49a,#a9c48b,#83b285,#6a9f84,#5e8980,#516f71,#344f52
R180,#ad8c88,#c0a09e,#d9b9b8,#efd1d1,#fadee2,#f4d9e8,#e5c9e4,#d7b6dd,#d7a8d6
R181,#eeb5af,#f3acad,#ee9ca1,#e18991,#cf7681,#b96875,#a35b6a,#904e5d,#823f4c
R182,#492b30,#652238,#832441,#a3354b,#c25057,#dd6e67,#f18d7c,#faa797,#f6babb
R183,#629800,#b1cd3e,#e6f38d,#fcfecf,#f4e7e5,#d4b2d1,#a972a8,#7b3482,#520070
R184,#3b3d40,#4f5256,#63696c,#778083,#8d999a,#a4b1b2,#bdcacb,#d9e2e5,#f8faff
